#r-i 					  g-r 						i-z 
-1.853780487804874699e-01 -1.858826183587161118e-01 -1.153043290174038116e-01
-1.843780487804874690e-01 -1.843434470879978804e-01 -1.146462231983305519e-01
-1.833780487804874682e-01 -1.828042758172796489e-01 -1.139881173792572921e-01
-1.823780487804874673e-01 -1.812651045465614452e-01 -1.133300115601840463e-01
-1.813780487804874664e-01 -1.797259332758432138e-01 -1.126719057411107866e-01
-1.803780487804874655e-01 -1.781867620051249823e-01 -1.120137999220375269e-01
-1.793780487804874646e-01 -1.766475907344067786e-01 -1.113556941029642811e-01
-1.783780487804874637e-01 -1.751084194636885472e-01 -1.106975882838910213e-01
-1.773780487804874628e-01 -1.734067213608103952e-01 -1.100394824648177616e-01
-1.763780487804874619e-01 -1.717049891541155560e-01 -1.093813766457445158e-01
-1.753780487804874610e-01 -1.700032569474207167e-01 -1.087232708266712561e-01
-1.743780487804874602e-01 -1.683015247407258774e-01 -1.080651650075979964e-01
-1.733780487804874593e-01 -1.665997925340310104e-01 -1.074070591885247505e-01
-1.723780487804874584e-01 -1.648980603273361711e-01 -1.067489533694514908e-01
-1.713780487804874575e-01 -1.631963281206413319e-01 -1.060908475503782311e-01
-1.703780487804874566e-01 -1.614945959139464648e-01 -1.054327417313049853e-01
-1.693780487804874557e-01 -1.597928637072516256e-01 -1.047746359122317256e-01
-1.683780487804874548e-01 -1.580911315005567863e-01 -1.041165300931584659e-01
-1.673780487804874539e-01 -1.563893992938619193e-01 -1.034584242740852200e-01
-1.663780487804874531e-01 -1.546876670871670800e-01 -1.028003184550119603e-01
-1.653780487804874522e-01 -1.529859348804722408e-01 -1.021422126359387006e-01
-1.643780487804874513e-01 -1.512842026737773737e-01 -1.014841068168654548e-01
-1.633780487804874504e-01 -1.495824704670825345e-01 -1.008260009977921950e-01
-1.623780487804874495e-01 -1.478807382603876952e-01 -1.001678951787189353e-01
-1.613780487804874486e-01 -1.461790060536928282e-01 -9.962411130575356266e-02
-1.603780487804874477e-01 -1.444772738469979889e-01 -9.912579638862649423e-02
-1.593780487804874468e-01 -1.427755416403031496e-01 -9.862748147149941191e-02
-1.583780487804874459e-01 -1.410738094336083104e-01 -9.812916655437232960e-02
-1.573780487804874451e-01 -1.393720772269134434e-01 -9.763085163724526117e-02
-1.563780487804874442e-01 -1.376703450202186041e-01 -9.713253672011817885e-02
-1.553780487804874433e-01 -1.359686128135237371e-01 -9.663422180299111042e-02
-1.543780487804874424e-01 -1.342668806068288978e-01 -9.613590688586402810e-02
-1.533780487804874415e-01 -1.325651484001340585e-01 -9.563759196873694579e-02
-1.523780487804874406e-01 -1.310840951041539748e-01 -9.513927705160987736e-02
-1.513780487804874397e-01 -1.296271532201061505e-01 -9.464096213448279504e-02
-1.503780487804874388e-01 -1.281702113360583262e-01 -9.414264721735572661e-02
-1.493780487804874380e-01 -1.267132694520105018e-01 -9.364433230022864429e-02
-1.483780487804874371e-01 -1.252563275679626498e-01 -9.314601738310157586e-02
-1.473780487804874362e-01 -1.237993856839148255e-01 -9.264770246597449355e-02
-1.463780487804874353e-01 -1.223424437998670011e-01 -9.214938754884741123e-02
-1.453780487804874344e-01 -1.208855019158191768e-01 -9.165107263172034280e-02
-1.443780487804874335e-01 -1.194285600317713386e-01 -9.115275771459326049e-02
-1.433780487804874326e-01 -1.179716181477235004e-01 -9.065444279746617817e-02
-1.423780487804874317e-01 -1.165146762636756761e-01 -9.015612788033910974e-02
-1.413780487804874308e-01 -1.150577343796278518e-01 -8.965781296321202742e-02
-1.403780487804874300e-01 -1.136007924955800136e-01 -8.915949804608495899e-02
-1.393780487804874291e-01 -1.121438506115321754e-01 -8.866118312895787668e-02
-1.383780487804874282e-01 -1.106869087274843511e-01 -8.816286821183080824e-02
-1.373780487804874273e-01 -1.092299668434365267e-01 -8.766455329470372593e-02
